name,rating,Duration,Year,Genre,Gross_income
The Mummy,5.4,110,2017,Action Adventure Fantasy,80101125
Harry Potter and the Half-Blood Prince,7.6,153,2009,Action Adventure Family,301959197
Hotel Transylvania: Transformania,6.0,87,2022,Animation Adventure Comedy,301959197
X-Men: The Last Stand,6.6,104,2006,Action Adventure Sci-Fi,234362462
Back to the Future Part III,7.4,118,1990,Adventure Comedy Sci-Fi,87727583
Finch,6.8,115,2021,Adventure Drama Sci-Fi,87727583
The Magnificent Seven,6.8,132,2016,Action Adventure Western,93432655
First Blood,7.7,93,1982,Action Adventure Thriller,47212904
The Parent Trap,6.6,128,1998,Adventure Comedy Drama,66308518
Hellboy,5.2,120,2019,Action Adventure Fantasy,21903748
Jumanji,7.0,104,1995,Adventure Comedy Family,100475249
Fear and Loathing in Las Vegas,7.5,118,1998,Adventure Comedy Drama,10680275
Warcraft,6.7,123,2016,Action Adventure Fantasy,47365290
King Arthur: Legend of the Sword,6.7,126,2017,Action Adventure Drama,39175066
X: First Class,7.7,131,2011,Action Adventure Sci-Fi,146408305
Aladdin,8.0,90,1992,Animation Adventure Comedy,217350219
Incredibles 2,7.6,118,2018,Animation Action Adventure,608581744
Ant-Man,7.3,117,2015,Action Adventure Comedy,180202163
The Hitchhiker's Guide to the Galaxy,6.7,109,2005,Adventure Comedy Sci-Fi,51085416
Star Trek Beyond,7.0,122,2016,Action Adventure Sci-Fi,158848340
How to Train Your Dragon,8.1,98,2010,Animation Action Adventure,217581231
Mulan,5.7,115,2020,Action Adventure Drama,217581231
Bill & Ted Face the Music,5.9,91,2020,Adventure Comedy Music,217581231
Paddington,7.2,95,2014,Adventure Comedy Family,76271832
Kung Fu Panda,7.6,92,2008,Animation Action Adventure,215434591
Dances with Wolves,8.0,181,1990,Adventure Drama Western,184208848
Percy Jackson & the Olympians: The Lightning Thief,5.8,118,2010,Adventure Family Fantasy,88761720
The Divergent Series: Insurgent,6.2,119,2015,Action Adventure Sci-Fi,130179072
Planet of the Apes,5.7,119,2001,Action Adventure Sci-Fi,180011740
The Perfect Storm,6.4,130,2000,Action Adventure Drama,182618434
Dragonball Evolution,2.6,85,2009,Action Adventure Fantasy,9353573
Deliverance,7.7,109,1972,Adventure Drama Thriller,7056013
Tangled,7.7,100,2010,Animation Adventure Comedy,200821936
Mulan,7.6,88,1998,Animation Adventure Comedy,120620254
Shazam!,7.0,132,2019,Action Adventure Comedy,140371656
