track_name,released_year,released_month,in_spotify_charts,mode,danceability_%,artist(s)
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",2023,6,0,Major,92,WizKid Toian Metro Boomin Don Toliver Beam
Efecto,2022,5,33,Minor,80,Bad Bunny
Erro Gostoso - Ao Vivo,2023,1,5,Major,59,Simone Mendes
Cupido,2023,2,24,Major,91,Tini
Just Wanna Rock,2022,10,13,Major,49,Lil Uzi Vert
Unstoppable,2016,1,13,Major,47,Sia
Until I Found You,2021,9,4,Major,34,Stephen Sanchez
Rich Flex,2022,11,18,Minor,56,Drake 21 Savage
Easy On Me,2021,10,20,Major,60,Adele
Danger (Spider) (Offset & JID),2023,6,0,Major,83,Offset JID
The Real Slim Shady,2000,1,27,Minor,95,Eminem
MERCHO,2022,12,20,Minor,84,Migrantes LiL CaKe Nico Valdi
The Color Violet,2021,12,32,Minor,65,Tory Lanez
Glimpse of Us,2022,6,6,Major,44,Joji
Mejor Que Yo,2023,5,1,Minor,62,Mambo Kingz DJ Luian Anuel Aa
Curtains,2023,5,0,Minor,50,Ed Sheeran
UNFORGIVEN (feat. Nile Rodgers),2023,5,13,Minor,80,Nile Rodgers LE SSERAFIM
Haegeum,2023,4,12,Major,70,Agust D
MIENTRAS ME CURO DEL CORA,2023,2,35,Major,52,Karol G
Never Felt So Alone,2023,4,3,Major,44,Labrinth
X SI VOLVEMOS,2023,2,33,Minor,79,Karol G Romeo Santos
ceilings,2022,4,9,Major,51,Lizzy McAlpine
Cupid,2023,2,10,Major,77,Fifty Fifty
I AM,2023,4,15,Minor,68,IVE
Shorty Party,2023,3,12,Major,93,Cartel De Santa La Kelly
Super,2023,4,12,Major,77,SEVENTEEN
Slut Me Out,2022,4,4,Minor,94,NLE Choppa
Double Fantasy (with Future),2023,4,0,Minor,60,The Weeknd Future
All Of The Girls You Loved Before,2019,8,6,Major,72,Taylor Swift
PROVENZA,2022,4,34,Major,87,Karol G
Princess Diana (with Nicki Minaj),2023,4,4,Major,90,Nicki Minaj Ice Spice
Di Que Si,2023,2,10,Major,57,Grupo Marca Registrada Grupo Frontera
Shivers,2021,9,30,Major,79,Ed Sheeran
Shoong! (feat. LISA of BLACKPINK),2023,4,9,Minor,76,TAEYANG Lisa
Komang,2022,8,4,Major,70,Raim Laode
Made You Look,2022,10,6,Major,84,Meghan Trainor
Watch This - ARIZONATEARS Pluggnb Remix,2023,2,10,Minor,69,sped up nightcore ARIZONATEARS Lil Uzi Vert
No Se Va,2022,4,18,Major,59,Grupo Frontera
Punto G,2022,11,35,Minor,75,Quevedo
Lovers Rock,2014,6,13,Minor,56,TV Girl
METAMORPHOSIS,2021,11,24,Minor,59,INTERWORLD
Mami Chula,2023,4,4,Minor,80,Quevedo Jhayco
En Paris,2022,12,5,Minor,70,El Chachito Junior H
Set Me Free Pt.2,2023,3,13,Minor,59,Jimin
I Was Never There,2018,3,15,Major,32,The Weeknd Gesaffelstein
Don't ever say love me (feat. RM of BTS),2023,5,0,Minor,54,RM Colde
Shut Down,2022,9,17,Major,82,BLACKPINK
Gato de Noche,2022,12,30,Major,89,Nengo Flow Bad Bunny
Call Out My Name,2018,3,6,Major,45,The Weeknd
Like Crazy (English Version),2023,3,19,Major,62,Jimin
Sunroof,2021,12,17,Major,77,Nicky Youre Dazy
Lose Yourself - Soundtrack Version,2002,1,21,Major,70,Eminem
Superman,2002,5,14,Minor,80,Eminem Dina Rae
Mas Rica Que Ayer,2023,3,34,Major,82,Mambo Kingz DJ Luian Anuel Aa
People Pt.2 (feat. IU),2023,4,4,Minor,73,IU Agust D
REMIX EXCLUSIVO,2023,3,9,Minor,65,Feid
DOGTOOTH,2023,3,0,Major,71,Tyler The Creator
SORRY NOT SORRY,2023,3,0,Minor,48,Tyler The Creator
HAPPY,2023,3,0,Major,73,NF
La Bebe,2021,12,17,Minor,78,Yng Lvcas
I Know - PR1SVX Edit,2023,3,0,Minor,67,Kanii PR1ISVX
Late Night Talking,2022,5,8,Major,71,Harry Styles
Save Your Tears (with Ariana Grande) (Remix),2020,3,5,Major,65,Ariana Grande The Weeknd
Something in the Orange,2022,4,12,Major,59,Zach Bryan
VOID,2023,3,0,Major,72,Melanie Martinez
Dijeron Que No La Iba Lograr,2023,3,6,Minor,70,Fuerza Regida Chino Pacas
Midnight Rain,2022,10,4,Major,64,Taylor Swift
If We Ever Broke Up,2023,2,4,Major,90,Mae Stephens
You Proof,2022,5,9,Major,73,Morgan Wallen
LA INOCENTE,2022,4,37,Minor,76,Feid Mora
Malas Decisiones,2022,10,2,Minor,81,Kenia OS
Murder In My Mind,2022,1,20,Major,71,Kordhell
Gangsta's Paradise,1995,7,17,Major,63,Coolio L.V.
CAIRO,2022,11,26,Minor,95,Karol G Ovy On The Drums
I Love You So,2014,11,7,Major,58,The Walters
Dark Red,2017,2,7,Major,60,Steve Lacy
Say You Won't Let Go,2016,9,16,Major,40,James Arthur
The Hills,2015,5,4,Minor,36,The Weeknd
Heart To Heart,2019,5,0,Minor,90,Mac DeMarco
Peaches (from The Super Mario Bros. Movie),2023,4,0,Minor,71,Jack Black
Marisola - Remix,2022,12,16,Major,77,Duki NICKI NICOLE Cris Mj Standly Stars Music Chile
LOKERA,2022,7,30,Minor,83,Brray Rauw Alejandro Lyanno
Low,2022,12,0,Minor,70,SZA
Numb,2003,3,5,Major,50,Linkin Park
Tormenta (feat. Bad Bunny),2023,2,0,Major,64,Gorillaz Bad Bunny
on the street (with J. Cole),2023,3,2,Minor,68,j-hope J. Cole
One Thing At A Time,2022,12,4,Major,61,Morgan Wallen
Miss You,2022,8,10,Minor,59,Robin Schulz Oliver Tree
Private Landing (feat. Justin Bieber & Future),2023,2,0,Minor,84,Don Toliver Future Justin Bieber
Everything I Love,2023,1,0,Major,56,Morgan Wallen
Heaven,2023,2,2,Major,57,Niall Horan
LET GO,2022,12,20,Minor,74,Central Cee
Sial,2023,1,4,Major,56,Mahalini
I Wrote The Book,2023,1,0,Major,68,Morgan Wallen
"Apna Bana Le (From ""Bhediya"")",2022,11,0,Major,59,Arijit Singh Sachin-Jigar
SPIT IN MY FACE!,2022,10,14,Major,73,ThxSoMch
Man Made A Bar (feat. Eric Church),2023,3,0,Major,50,Morgan Wallen Eric Church
